Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",70.81,-2.1,-2.88%,71.74,69.89,1701032,"14:47 ET"
AAL,"American Airlines Gp",36.4,-0.29,-0.79%,37.1,35.79,6033526,"14:47 ET"
AAP,"Advance Auto Parts Inc",173.13,-5.06,-2.84%,177,170.75,780597,"14:47 ET"
AAPL,"Apple Inc",172.27,-4.42,-2.50%,174.36,170.42,32389651,"14:47 ET"
ABBV,"Abbvie Inc",87.96,-2.59,-2.86%,90.48,87.17,4483303,"14:47 ET"
ABC,"Amerisourcebergen Corp",84.21,-3.4,-3.88%,86.99,83.33,819041,"14:47 ET"
ABMD,"Abiomed Inc",323.89,-3.29,-1.01%,329.6,310.58,307605,"14:47 ET"
ABT,"Abbott Laboratories",70.14,-1.36,-1.90%,71.08,69.92,5393368,"14:47 ET"
ACN,"Accenture Plc",156.98,-7.23,-4.40%,161.74,156.95,2970570,"14:47 ET"
ADBE,"Adobe Systems Inc",245.72,-0.099999999999994,-0.04%,249.17,237.96,2444277,"14:47 ET"
ADI,"Analog Devices",88.05,-2.39,-2.64%,89.09,86.17,1798416,"14:47 ET"
ADM,"Archer Daniels Midland Company",44.88,-0.73,-1.60%,45.47,44.17,2799122,"14:47 ET"
ADP,"Automatic Data Procs",141.21,-2.4,-1.67%,142.82,138.29,1491925,"14:46 ET"
ADS,"Alliance Data Systems Corp",184.12,-4.74,-2.51%,186.48,181.8,471515,"14:46 ET"
ADSK,"Autodesk Inc",137.72,-2.12,-1.52%,140.04,133.3,1356767,"14:47 ET"
AEE,"Ameren Corp",69.36,-0.68000000000001,-0.97%,70.43,68.68,718531,"14:47 ET"
AEP,"American Electric Power Company",78.02,-0.40000000000001,-0.51%,79.25,77.11,1474246,"14:47 ET"
AES,"The Aes Corp",15.29,-0.17,-1.10%,15.34,15.04,4496233,"14:47 ET"
AFL,"Aflac Incorporated",42.71,-1.58,-3.57%,43.88,42.69,2372361,"14:47 ET"
AGN,"Allergan Plc",152.68,-1.32,-0.86%,153.96,149.81,1625203,"14:47 ET"
AIG,"American International Group",38.58,-2.19,-5.37%,40.15,38.5,9538151,"14:47 ET"
AIV,"Apartment Investment and Management",46.66,0.58,+1.26%,46.77,45.63,1137084,"14:47 ET"
AIZ,"Assurant Inc",91.25,-4.16,-4.36%,94.12,89.57,622892,"14:46 ET"
AJG,"Arthur J. Gallagher & Co",73.9,-2.21,-2.90%,75.2,73.69,781831,"14:47 ET"
AKAM,"Akamai Technologies",68.35,-0.36,-0.52%,69.68,67.01,1278365,"14:46 ET"
ALB,"Albemarle Corp",89.61,-3.58,-3.84%,92.04,88.02,1409222,"14:47 ET"
ALGN,"Align Technology I",214.99,-5.96,-2.70%,219,210.11,986923,"14:47 ET"
ALK,"Alaska Air Group",69.14,-0.89,-1.27%,69.9,68.82,1389735,"14:47 ET"
ALL,"Allstate Corp",83.47,-2.93,-3.39%,86.07,83.33,1281441,"14:47 ET"
ALLE,"Allegion Plc Ordinary Shares Wh",88.32,-1.96,-2.17%,89.56,87.09,368728,"14:47 ET"
ALXN,"Alexion Pharm Inc",118.83,-3.47,-2.84%,121.01,116.51,910389,"14:46 ET"
AMAT,"Applied Materials",34.22,-1.21,-3.42%,34.88,33.98,12225705,"14:47 ET"
AMD,"Adv Micro Devices",20.81,-0.31,-1.47%,21.41,20.06,86378181,"14:47 ET"
AME,"Amtek Inc",70.69,-1.39,-1.93%,71.22,68.74,1443790,"14:47 ET"
AMG,"Affiliated Managers Group",104.55,-0.60000000000001,-0.57%,105.63,101.34,693802,"14:46 ET"
AMGN,"Amgen Inc",195.62,-2.14,-1.08%,197.34,193.2,1847554,"14:47 ET"
AMP,"Ameriprise Financial Services",116.09,-5.34,-4.40%,118.38,113.21,1124091,"14:47 ET"
AMT,"American Tower Corp",164.55,1.07,+0.65%,165.22,161.13,1460200,"14:47 ET"
AMZN,"Amazon.com Inc",1667.9,-0.5,-0.03%,1690.15,1609.85,6703016,"14:47 ET"
ANET,"Arista Networks Inc",233.35,3.62,+1.58%,235.74,225,856623,"14:47 ET"
ANSS,"Ansys Inc",154.77,-1.87,-1.19%,156.51,152.18,444109,"14:46 ET"
ANTM,"Anthem Inc",281.95,-10.97,-3.75%,291.64,274.97,1438532,"14:47 ET"
AON,"AON Plc",158.3,-4.42,-2.72%,161.05,156.28,530438,"14:46 ET"
AOS,"Smith [A.O.] Corp",43.85,-1.32,-2.92%,44.63,43.26,1380218,"14:47 ET"
APA,"Apache Corp",33.22,-1.82,-5.19%,34.23,32.97,3412083,"14:47 ET"
APC,"Anadarko Petroleum Corp",50.93,-2.05,-3.87%,51.76,50.26,2774242,"14:47 ET"
APD,"Air Products and Chemicals",158.6,-5.32,-3.25%,161.65,156.85,1097077,"14:46 ET"
APH,"Amphenol Corp",82.77,-2.88,-3.36%,84.25,81.85,2054510,"14:47 ET"
APTV,"Aptiv Plc",69.03,-2.55,-3.56%,70.32,69,1615142,"14:47 ET"
ARE,"Alexandria Real Estate Equities",123.57,0.029999999999987,+0.02%,124.04,121.5,631672,"14:46 ET"
ARNC,"Arconic Inc",20.23,-0.62,-2.97%,20.71,20.17,2967978,"14:47 ET"
ATVI,"Activision Blizzard",47.49,0.97,+2.09%,48.31,45.5,12313018,"14:47 ET"
AVB,"Avalonbay Communities",187.05,-0.26999999999998,-0.14%,188.14,184.2,779017,"14:47 ET"
AVGO,"Broadcom Ltd",222.19,-9.85,-4.24%,226.5,217.61,3346695,"14:47 ET"
AVY,"Avery Dennison Corp",92.46,-1.21,-1.29%,93.22,91.62,681533,"14:46 ET"
AWK,"American Water Works",96.13,0.34999999999999,+0.37%,96.68,95.44,798321,"14:46 ET"
AXP,"American Express Company",105.89,-1.75,-1.63%,106.64,104.78,4500806,"14:47 ET"
AZO,Autozone,853.03,-27.04,-3.07%,877.94,852.03,368714,"14:47 ET"
BA,"Boeing Company",327,-15.5,-4.53%,333.63,317.3,6725949,"14:47 ET"
BAC,"Bank of America Corp",25.69,-1.3,-4.82%,26.43,25.53,86743876,"14:47 ET"
BAX,"Baxter International Inc",65.34,-1.92,-2.85%,66.81,64.96,2511891,"14:47 ET"
BBT,"BB&T Corp",47.12,-1.25,-2.58%,47.87,46.91,3766556,"14:47 ET"
BBY,"Best Buy Co",61.06,-1.2,-1.93%,62.1,60.34,2993531,"14:47 ET"
BDX,"Becton Dickinson and Company",236.28,-8.64,-3.53%,243.56,234.76,1144543,"14:47 ET"
BEN,"Franklin Resources",31.89,-1.38,-4.15%,32.67,31.14,4244241,"14:47 ET"
BF.B,"Brown Forman Inc Cl B",46.07,-0.59,-1.26%,47.36,45.74,910567,"14:47 ET"
BHF,"Brighthouse Financial Inc",35.38,-3.43,-8.84%,38.08,35.37,2532266,"14:47 ET"
BHGE,"Baker Hughes A Ge Co. Cl. A",21.23,-0.91,-4.11%,21.71,21.05,3666288,"14:47 ET"
BIIB,"Biogen Inc",323.27,0.53999999999996,+0.17%,325.36,313.64,840273,"14:47 ET"
BK,"Bank of New York Mellon Corp",47.23,-1.47,-3.02%,48,46.67,7123620,"14:47 ET"
BKNG,"Booking Holdings Inc",1870.71,7.5699999999999,+0.41%,1889.93,1825.51,225678,"14:46 ET"
BLK,Blackrock,391.79,-16.96,-4.15%,400.43,381.38,937321,"14:47 ET"
BLL,"Ball Corp",48.43,-0.6,-1.22%,48.71,47.94,3141809,"14:47 ET"
BMY,"Bristol-Myers Squibb Company",52.42,0.39,+0.75%,53.16,51.66,6296851,"14:47 ET"
BR,"Broadridge Financial Solutions Llc",98.88,-4.21,-4.08%,101.86,98.88,759244,"14:47 ET"
BRK.B,"Berkshire Hath Hld Cl B",203.88,-6.24,-2.97%,208.07,202.92,5118205,"14:47 ET"
BSX,"Boston Scientific Corp",35.89,-0.63,-1.73%,36.38,35.25,6272005,"14:47 ET"
BWA,"Borgwarner Inc",36.64,-1.01,-2.68%,37.51,36.26,1250629,"14:47 ET"
BXP,"Boston Properties",129.44,-0.74000000000001,-0.57%,129.8,127.49,538129,"14:46 ET"
C,"Citigroup Inc",58.48,-3.78,-6.07%,60.9,58.36,26159912,"14:47 ET"
CAG,"Conagra Brands Inc",31.25,-0.83,-2.59%,32.18,30.9,3309478,"14:47 ET"
CAH,"Cardinal Health",53.57,-1.5,-2.72%,54.5,52.17,2851139,"14:47 ET"
CAT,"Caterpillar Inc",126.29,-3.03,-2.34%,127.76,124.05,4483272,"14:47 ET"
CB,"Chubb Ltd",129.1,-3.23,-2.44%,131.38,128.22,1302060,"14:46 ET"
CBOE,"CBOE Global Markets Inc",102.55,-1.35,-1.30%,104.17,102.41,828657,"14:47 ET"
CBRE,"CBRE Group Inc",41.89,0.15,+0.36%,42.08,40.87,1313816,"14:47 ET"
CBS,"CBS Corp",50.8,-0.55,-1.07%,51.08,50.27,2004421,"14:47 ET"
CCI,"Crown Castle International Corp",115.39,0.39,+0.34%,115.8,113.23,1849443,"14:47 ET"
CCL,"Carnival Corp",57.77,-0.52999999999999,-0.91%,58.2,57.09,2038573,"14:47 ET"
CDNS,"Cadence Design Sys",43.45,-1.28,-2.86%,44.24,43.22,1596803,"14:47 ET"
CELG,"Celgene Corp",72.08,-0.39,-0.54%,73.14,71.03,4001902,"14:47 ET"
CERN,"Cerner Corp",54.21,-1.91,-3.40%,55.49,54.21,1589292,"14:46 ET"
CF,"Cf Industries Holdings",40.89,-1.66,-3.90%,42.15,39.99,2732499,"14:46 ET"
CFG,"Citizens Financial Group Inc/Ri",33.09,-1.35,-3.92%,34.25,33,4433333,"14:47 ET"
CHD,"Church & Dwight Company",65.86,-0.73999999999999,-1.11%,66.97,65.62,924865,"14:47 ET"
CHRW,"C.H. Robinson Ww",88.68,-0.19,-0.21%,89.34,87.25,611530,"14:46 ET"
CHTR,"Charter Communicatio",322.52,0.68000000000001,+0.21%,325.06,313.83,715175,"14:46 ET"
CI,"Cigna Corp",210.67,-7.17,-3.29%,216.78,206.61,1694594,"14:47 ET"
CINF,"Cincinnati Financial",79.13,-2.38,-2.92%,80.82,78.61,344092,"14:46 ET"
CL,"Colgate-Palmolive Company",62.56,-0.52,-0.82%,63.29,61.87,2798439,"14:47 ET"
CLX,"Clorox Company",162.24,-1.39,-0.85%,163.87,160.82,501077,"14:46 ET"
CMA,"Comerica Inc",74.04,-2.36,-3.09%,75.09,73.51,1980549,"14:47 ET"
CMCSA,"Comcast Corp A",37.4,-0.29,-0.77%,37.79,36.98,16033659,"14:47 ET"
CME,"CME Group Inc",185.94,-2.26,-1.20%,189,183.43,1617596,"14:47 ET"
CMG,"Chipotle Mexican Grill",464.31,-4.04,-0.86%,467.29,453.38,426882,"14:46 ET"
CMI,"Cummins Inc",140.35,-6.02,-4.11%,143.38,137.56,1077097,"14:47 ET"
CMS,"Cms Energy Corp",52.44,-0.13,-0.25%,52.94,51.64,1561507,"14:47 ET"
CNC,"Centene Corp",132.86,-9.32,-6.56%,139.9,131.19,1370367,"14:47 ET"
CNP,"Centerpoint Energy Inc",27.84,-0.21,-0.75%,28.22,27.65,2649695,"14:47 ET"
COF,"Capital One Financial Corp",82.37,-2.52,-2.97%,83.9,81.85,1977339,"14:47 ET"
COG,"Cabot Oil & Gas Corp",24.89,-0.21,-0.84%,25.14,24.32,6488165,"14:47 ET"
COO,"Cooper Companies",269.63,-5.27,-1.92%,273.22,264.78,416526,"14:46 ET"
COP,Conocophillips,65.12,-1.8,-2.69%,66.21,64.31,4361281,"14:47 ET"
COST,"Costco Wholesale",231.84,5.49,+2.43%,233.86,226.6,2264402,"14:47 ET"
COTY,"Coty Inc",7.57,-0.36,-4.54%,7.87,7.55,5869763,"14:47 ET"
CPB,"Campbell Soup Company",37.85,-0.74,-1.92%,38.8,37.53,1010971,"14:47 ET"
CPRT,"Copart Inc",48.34,-0.94,-1.91%,49.17,47.69,815169,"14:47 ET"
CRM,"Salesforce.com Inc",139.07,-0.17000000000002,-0.12%,140.55,132.75,6348431,"14:47 ET"
CSCO,"Cisco Systems Inc",47.18,-0.17,-0.36%,47.59,46.47,22944660,"14:47 ET"
CSX,"CSX Corp",68.87,-1.73,-2.45%,69.65,68.23,5456065,"14:47 ET"
CTAS,"Cintas Corp",175.5,-3.99,-2.22%,178.32,173.59,512792,"14:46 ET"
CTL,Centurylink,17.09,-0.76,-4.26%,17.83,16.87,13274579,"14:47 ET"
CTSH,"Cognizant Tech Sol",68.58,-1.44,-2.06%,69.48,68.11,2420416,"14:47 ET"
CTXS,"Citrix Systems Inc",108.18,-0.69,-0.63%,108.92,105.43,913122,"14:47 ET"
CVS,"CVS Corp",75.09,-3.82,-4.84%,78.06,73.89,7982326,"14:47 ET"
CVX,"Chevron Corp",114.07,-3.17,-2.70%,115.43,113.03,5963241,"14:47 ET"
CXO,"Concho Resources Inc",118.65,-9.76,-7.60%,125.26,117.69,1753677,"14:47 ET"
D,"Dominion Resources",74.13,-1.19,-1.58%,74.95,73.36,3385442,"14:47 ET"
DAL,"Delta Air Lines Inc",57.44,0.5,+0.88%,57.9,56.51,5017959,"14:47 ET"
DE,"Deere & Company",151.89,0.29999999999998,+0.20%,153.59,146.57,3207475,"14:47 ET"
DFS,"Discover Financial Services",64.79,-1.59,-2.40%,65.81,64.11,2014039,"14:47 ET"
DG,"Dollar General Corp",105.24,1.14,+1.10%,105.68,102.31,2387152,"14:47 ET"
DGX,"Quest Diagnostics Inc",87.56,-2.18,-2.43%,89.33,86.5,1165445,"14:47 ET"
DHI,"D.R. Horton",36.53,0.25,+0.69%,37.07,35.9,2592224,"14:47 ET"
DHR,"Danaher Corp",102.82,-3.48,-3.27%,105.53,102.41,1956861,"14:47 ET"
DIS,"Walt Disney Company",112.76,-0.11,-0.10%,113.32,111.16,6892527,"14:47 ET"
DISCA,"Discovery Comm A",28.63,0.65,+2.32%,28.91,27.56,3657050,"14:47 ET"
DISCK,"Discovery Comm Inc",26.37,0.6,+2.33%,26.47,25.44,2510082,"14:47 ET"
DISH,"Dish Network Corp",31.19,-0.74,-2.32%,31.93,30.97,1310465,"14:47 ET"
DLR,"Digital Realty Trust",114.29,0.69000000000001,+0.61%,114.59,110.78,577212,"14:47 ET"
DLTR,"Dollar Tree Inc",85.97,-0.28,-0.32%,86.26,84.99,1907824,"14:47 ET"
DOV,"Dover Corp",80.24,-3.25,-3.89%,82.55,79.1,1390212,"14:47 ET"
DRE,"Duke Realty Corp",28.11,0.09,+0.32%,28.19,27.32,1297036,"14:46 ET"
DRI,"Darden Restaurants",107.72,-0.030000000000001,-0.03%,108.09,105.88,867185,"14:47 ET"
DTE,"Dte Energy Company",118.31,-0.86,-0.72%,119.99,116.97,801372,"14:47 ET"
DUK,"Duke Energy Corp",89,-1.05,-1.17%,90.64,88.36,1959162,"14:46 ET"
DVA,"Davita Healthcare Partners Inc",60.81,-3.26,-5.09%,63.06,59.19,1881768,"14:47 ET"
DVN,"Devon Energy Corp",27.22,-0.95,-3.37%,27.53,26.64,6201608,"14:47 ET"
DWDP,"Dowdupont Inc",54.67,-1.82,-3.22%,55.4,53.75,8944757,"14:47 ET"
DXC,"Dxc Technology Company",59.91,-2.12,-3.42%,60.87,59.23,2738180,"14:47 ET"
EA,"Electronic Arts Inc",82.05,0.86999999999999,+1.07%,83.54,79.5,3614862,"14:47 ET"
EBAY,"Ebay Inc",29.09,-0.17,-0.58%,29.33,28.77,7146045,"14:47 ET"
ECL,"Ecolab Inc",155.05,-1.69,-1.08%,156.59,153.14,740556,"14:46 ET"
ED,"Consolidated Edison Company of New York",81.01,-0.97999999999999,-1.20%,82.49,80.1,1291210,"14:47 ET"
EFX,"Equifax Inc",98.67,-0.61,-0.61%,99.24,96.89,487026,"14:47 ET"
EIX,"Edison International",56.91,-0.82,-1.42%,58.18,56.12,1495336,"14:47 ET"
EL,"Estee Lauder Companies",140.31,-3.78,-2.62%,142.93,138.68,1800410,"14:47 ET"
EMN,"Eastman Chemical Company",74.61,-3.06,-3.94%,76.14,74.05,858273,"14:47 ET"
EMR,"Emerson Electric Company",62.67,-2.98,-4.54%,64.34,62.04,4616564,"14:47 ET"
EOG,"Eog Resources",100.2,-3.87,-3.72%,101.82,99.56,2855025,"14:47 ET"
EQIX,"Equinix Inc",386.06,0.97000000000003,+0.25%,387.4,377.95,326402,"14:47 ET"
EQR,"Equity Residential",71.12,0.36,+0.51%,71.28,69.59,978362,"14:46 ET"
ES,"Eversource Energy",68.61,-0.34,-0.49%,69.55,67.72,1102357,"14:47 ET"
ESRX,"Express Scripts",97.15,-1.72,-1.74%,99.1,96.03,2188762,"14:47 ET"
ESS,"Essex Property Trust",259.8,0.21000000000004,+0.08%,260.58,256.06,146207,"14:46 ET"
ETFC,"E*Trade Finl Corp",46.99,-1.66,-3.41%,47.4,46.1,3909288,"14:47 ET"
ETN,"Eaton Corp",72.46,-2.53,-3.37%,73.71,71.17,2138272,"14:47 ET"
ETR,"Entergy Corp",87.18,-1.8,-2.02%,89.43,86.6,1273007,"14:47 ET"
EVRG,"Evergy Inc",60.21,0.17,+0.28%,60.49,59.43,841590,"14:46 ET"
EW,"Edwards Lifesciences Corp",160.71,3.36,+2.14%,161.75,155.02,1495161,"14:46 ET"
EXC,"Exelon Corp",46.42,-0.53,-1.13%,47.4,46.09,3984743,"14:47 ET"
EXPD,"Expeditors Intl",73.67,-1.87,-2.48%,75.12,73.67,816541,"14:47 ET"
EXPE,"Expedia Group Inc",119.32,0.53999999999999,+0.45%,119.93,116.07,947161,"14:47 ET"
EXR,"Extra Space Storage Inc",98.02,1.12,+1.16%,98.2,96.09,583190,"14:46 ET"
F,"Ford Motor Company",8.93,-0.25,-2.72%,9.14,8.92,34354697,"14:47 ET"
FAST,"Fastenal Co",56.21,-1.06,-1.85%,56.79,55.45,1647318,"14:47 ET"
FB,"Facebook Inc",137.53,-0.40000000000001,-0.29%,139.16,133.39,20108092,"14:47 ET"
FBHS,"Fortune Brands Home & Security",41.91,-0.32,-0.76%,42.47,41.21,1330700,"14:47 ET"
FCX,"Freeport-Mcmoran Inc",10.94,-0.56,-4.87%,11.16,10.73,16509903,"14:47 ET"
FDX,"Fedex Corp",210.76,-4.76,-2.21%,214.58,209.5,1379926,"14:47 ET"
FE,"Firstenergy Corp",38.72,0.17,+0.44%,38.79,37.99,2637461,"14:46 ET"
FFIV,"F5 Networks Inc",166.99,-2.56,-1.51%,169.24,164.79,391092,"14:46 ET"
FIS,"Fidelity National Information Services",104.74,-1.38,-1.30%,105.31,102.66,1080497,"14:46 ET"
FISV,"Fiserv Inc",74.84,-2.07,-2.69%,75.93,74.04,1909653,"14:47 ET"
FITB,"Fifth Third Bncp",25.39,-0.69,-2.65%,25.81,24.96,4992787,"14:47 ET"
FL,"Footlocker Inc",53.85,-1.08,-1.97%,54.58,52.85,1597358,"14:46 ET"
FLIR,"Flir Systems Inc",44.08,-0.78,-1.74%,44.74,43.51,765742,"14:47 ET"
FLR,"Fluor Corp",36.48,-2.28,-5.88%,38.01,35.65,2164405,"14:47 ET"
FLS,"Flowserve Corp",45.07,-1.37,-2.95%,45.68,43.47,1029330,"14:47 ET"
FLT,"Fleetcor Technologies",185.61,-4.27,-2.25%,188.65,184.49,445566,"14:46 ET"
FMC,"FMC Corp",81.33,-1.89,-2.27%,81.89,79.56,672498,"14:46 ET"
FOX,"21st Centry Fox Class B",49,0.079999999999998,+0.16%,49.1,48.52,3669191,"14:47 ET"
FOXA,"21st Centry Fox Class A",49.26,0.14,+0.29%,49.39,48.62,8343672,"14:47 ET"
FRT,"Federal Realty Investment Trust",132.71,1.44,+1.10%,133.07,129.8,180298,"14:47 ET"
FTI,"Technipfmc Plc",21.53,-1.98,-8.42%,22.21,21.32,7083481,"14:47 ET"
FTNT,"Fortinet Inc",74.17,0.79000000000001,+1.08%,74.89,70.34,1084524,"14:47 ET"
FTV,"Fortive Corp",71.13,-1.72,-2.36%,72.19,70.43,1517082,"14:47 ET"
GD,"General Dynamics Corp",168.55,-4.63,-2.67%,171.92,165.3,1521665,"14:47 ET"
GE,"General Electric Company",7.26,-0.02,-0.27%,7.35,7.15,75547326,"14:47 ET"
GILD,"Gilead Sciences Inc",69.09,-0.45999999999999,-0.66%,69.74,68.11,4486315,"14:47 ET"
GIS,"General Mills",39.38,-0.89,-2.21%,40.4,39.32,8327107,"14:47 ET"
GLW,"Corning Inc",31.5,-0.65,-2.02%,31.66,30.66,4543317,"14:47 ET"
GM,"General Motors Company",35.04,-1.48,-4.05%,35.75,34.91,8702744,"14:47 ET"
GOOG,"Alphabet Class C",1051.01,0.19000000000005,+0.02%,1063.58,1030.56,1718638,"14:47 ET"
GOOGL,"Alphabet Class A",1061.74,-0.73000000000002,-0.07%,1075,1042.23,1565875,"14:47 ET"
GPC,"Genuine Parts Company",99.31,-3.93,-3.81%,102.21,97.88,584813,"14:47 ET"
GPN,"Global Payments Inc",104.27,-2.72,-2.54%,106.04,103.49,1408541,"14:47 ET"
GPS,"Gap Inc",27.15,0.23,+0.85%,27.5,26.41,3369849,"14:47 ET"
GRMN,"Garmin Ltd",64.14,-2.26,-3.40%,66.27,63.72,683651,"14:47 ET"
GS,"Goldman Sachs Group",181.14,-3.17,-1.72%,184.3,180.15,3561515,"14:46 ET"
GT,"Goodyear Tire Rubber",22.29,-0.72,-3.13%,22.74,22.27,1391686,"14:46 ET"
GWW,"W.W. Grainger",295.34,-5.26,-1.75%,297.3,289.58,454312,"14:46 ET"
HAL,"Halliburton Company",29.44,-2,-6.36%,30.55,29.31,10993311,"14:47 ET"
HAS,"Hasbro Inc",86.76,-1.65,-1.87%,87.83,85.37,1417783,"14:46 ET"
HBAN,"Huntington Bcshs",13.38,-0.3,-2.19%,13.53,13.16,14671736,"14:47 ET"
HBI,"Hanesbrands Inc",15.45,0.06,+0.39%,15.67,14.85,4407234,"14:47 ET"
HCA,"Hca Holdings Inc",138.82,-3.31,-2.33%,141.97,136.49,1072307,"14:47 ET"
HCP,"HCP Inc",29.61,0.53,+1.82%,29.68,28.82,4183027,"14:47 ET"
HD,"Home Depot",172.51,-2.79,-1.59%,174.18,170.46,4706511,"14:47 ET"
HES,"Hess Corp",52.48,-2.44,-4.44%,54.42,52.27,2941672,"14:47 ET"
HFC,"Hollyfrontier Corp",56.76,-1.38,-2.37%,57.54,55.46,1599868,"14:46 ET"
HIG,"Hartford Financial Services Group",41.52,-1.3,-3.04%,42.55,41.13,2880921,"14:47 ET"
HII,"Huntington Ingalls Industries",201.21,-2.41,-1.18%,201.41,194.61,523029,"14:47 ET"
HLT,"Hilton Inc",74.28,-0.87,-1.16%,75.08,73.31,1243380,"14:47 ET"
HOG,"Harley-Davidson Inc",39.48,-2.38,-5.69%,41.11,39.38,1936607,"14:46 ET"
HOLX,"Hologic Inc",42.77,-1.13,-2.57%,43.36,42.58,1713989,"14:47 ET"
HON,"Honeywell International Inc",138.75,-3.93,-2.75%,140.38,137.14,3120999,"14:47 ET"
HP,"Helmerich & Payne",58.76,-1.83,-3.02%,60.16,58.08,1143110,"14:47 ET"
HPE,"Hewlett Packard Enterprise Comp",15.72,0.67,+4.45%,16.26,14.56,17319555,"14:47 ET"
HPQ,"Hewlett-Packard Company",23.56,0.32,+1.38%,23.79,22.7,10920075,"14:47 ET"
HRB,"H&R Block",27.69,0.17,+0.62%,28.25,26.52,2213550,"14:47 ET"
HRL,"Hormel Foods Corp",44.46,-0.45,-1.00%,44.93,43.97,2422584,"14:47 ET"
HRS,"Harris Corp",138.33,-0.70999999999998,-0.51%,138.97,134.3,881098,"14:47 ET"
HSIC,"Henry Schein Inc",86.25,-3.67,-4.08%,89.6,84.74,1549685,"14:47 ET"
HST,"Host Marriott Financial Trust",18.46,-0.26,-1.39%,18.67,18.16,4408304,"14:47 ET"
HSY,"Hershey Foods Corp",107,-1.1,-1.02%,108.1,105.1,662647,"14:47 ET"
HUM,"Humana Inc",312.29,-12.18,-3.75%,322.64,306.67,939050,"14:47 ET"
IBM,"International Business Machines",121.52,-0.079999999999998,-0.07%,122.42,119.3,3890103,"14:47 ET"
ICE,"Intercontinental Exchange",78.25,-0.87,-1.10%,79.55,77.98,2745849,"14:47 ET"
IDXX,"Idexx Laboratories",193.41,-3.39,-1.72%,195.9,189.46,463292,"14:47 ET"
IFF,"International Flavors & Fragrances",136.34,-1.91,-1.38%,139.94,135.77,914482,"14:47 ET"
ILMN,"Illumina Inc",329.69,-4.52,-1.35%,334.39,323.4,858484,"14:46 ET"
INCY,"Incyte Corp",63.66,-1.86,-2.84%,65.35,63.22,880287,"14:46 ET"
INFO,"IHS Markit Ltd",51.07,-1.44,-2.74%,51.82,50.41,1330783,"14:47 ET"
INTC,"Intel Corp",47.43,-0.32,-0.67%,48.03,46.36,19942789,"14:47 ET"
INTU,"Intuit Inc",207.39,-0.26000000000002,-0.13%,208.82,199.4,1564789,"14:46 ET"
IP,"International Paper Company",44.49,-1.45,-3.16%,45.2,44,2560360,"14:47 ET"
IPG,"Interpublic Group of Companies",22.73,-0.46,-1.98%,23.2,22.52,3038818,"14:47 ET"
IPGP,"Ipg Photonics Corp",129.35,-7.87,-5.74%,134.75,129.01,514907,"14:46 ET"
IQV,"Iqvia Holdings Inc",120.42,-2.73,-2.22%,121.8,118.35,1064537,"14:46 ET"
